code;name;street_adress;number_adress;district_adress;cep_adress;phone;id_zone_adress
44047;CMEI IMACULADA CONCEICAO;RUA ESPERANTO;765;MONTE CASTELO;64016230;8632173038;4
44048;CMEI NOSSA SENHORA DA PAZ;RUA PIRACURUCA;3146;TRES ANDARES;64017780;8632170202;4
44049;CMEI MARCOS VILACA;RUA SANTA MARIA GORETTI;2522;TRES ANDARES;64017735;8632165685;4
44050;CMEI CIRANDINHA;RUA CANADA;794;CIDADE NOVA;64016610;8632185838;3
44051;CMEI NOSSA SENHORA MARIA AUXILIADORA;RUA SETE QUEDAS PRQ RODOVIARIO;4405;CATARINA;64023705;8632110995;4
44052;CMEI PARQUE SAO JOAO;RUA JACOB MARTINS;765;SANTA LUZIA;64020095;8632166082;4
44053;CMEI SANTA CRUZ;RUA D VL STA CRUZ;7740;SANTA CRUZ;64028818;8632273025;4
44054;CMEI SANTO ANTONIO;RUA RITA DE CASSIA VL MARIANA;3490;SANTO ANTONIO;64028450;8632195601;4
44055;CMEI PROFESSOR GILBERTO RIBEIRO DA SILVA;RUA JOAO DE BARRO - LADO IMPAR;1411;PEDRA MOLE;64065030;8632328454;1
44056;CMEI MARINA SOARES DA SILVA;CONJUNTO HABITAR BRASIL;1720;PEDRA MOLE;64065020;8632316439;1
44057;CMEI PROFESSORA MARIA ALDINEIA RODRIGUES DA SILVA;RUA URANO;4145;SATELITE;64059230;8632315900;1
44058;CMEI PROFESSORA HILDA MARIA LEMOS DOS SANTOS;AVENIDA PROFESSOR MARIANO DA SILVA NETO;2010;SANTA MARIA;64012351;8632267310;2
44059;CMEI PROFESSORA ZELIA CALIXTO DE ARAUJO SOUSA;AVENIDA AMADEUS PAULO;2778;MONTE ALEGRE;64011030;8632251200;2
44060;CMEI RAIMUNDA MARTINS NUNES PORTELA;RUA ARACRUZ;4606;PORTO DO CENTRO;64060360;8632167822;1
44061;CMEI TERESINHA DE JESUS E SILVA;RUA SAO RAIMUNDO;1852;TODOS OS SANTOS;64088620;8632354436;3
44062;CMEI SANTA FRANCISCA CABRINI;RUA NOSSA SENHORA DO CARMO VL IMA DULCE;4353;ANGELIM;64040675;8632191444;4
44063;CMEI ALDA MARIA ALMENDRA FREITAS CASTELO BRANCO;POVOADO SANTA TERESA;S/N;POVOADO SANTA TERESA;64000180;8632312727;1
44065;CMEI JOAO PAULO II;RUA NEUSINA PEREIRA DA SILVA;4950;SANTANA;64097032;8632333612;3
44066;CMEI MADRE TERESA DE CALCUTA;ALTO OITO;3705;VALE QUEM TEM;64057515;8632349961;1
44067;CMEI DALAI LAMA;RUA 03 DE ABRIL S/N;S/N;POVOADO BOA HORA;64012991;8632381026;2
44069;CMEI CHICO MENDES;RUA DOUTOR VALDEI MANOEL RODRIGUES;5925;ESPLANADA;64039440;8632195709;4
44071;CMEI MAHATMA GANDHI;RUA JORNALISTA MARIO SOARES RES C VERDE;4050;SAMAPI;64058340;8632311423;1
44074;CMEI MARIA ALVES DA SILVA SANTOS;RUA AREOLINO DE ABREU;1507;CENTRO;64000180;8632170165;4
44075;CMEI SAGRADO CORACAO DE JESUS;ESTRADA TRADA DA TABOCA DO PAU FERRADO CUIDOS;S/N;POVOADO TABOCA DO PAU FERRADO;64090991;86994383647;3
44077;CMEI CHICO XAVIER;RUA RIO VERDE LOT RENASCENCA III;2904;SAO SEBASTIAO;64084022;8632349596;3
44078;CMEI ANTONIO ALVES DE HOLANDA;ESTRADA DA CACIMBA VELHA POVOADO NOVA CAJAIBA;S/N;AREA RURAL DE TERESINA;64000180;8688126397;1
44080;CMEI FRANCISCA DE SOUSA PACHECO;RUA NOVE CJ DIGNIDADE;S/N;ANGELIM;64034797;8632277680;4
44081;CMEI AMELIA BEVILAQUA;RUA MARIANO GAIOSO;6001;SANTA MARIA;64012440;8632269734;2
44082;CMEI JOSE JOAO DE MAGALHAES BRAGA;RUA REGINA CELIA;5820;SANTA MARIA;64012620;8632263407;2
44083;CMEI ARVORES VERDES;ESTRADA TRADA VALE QUEM TEMCACIMBA VELHA;S/N;AREA RURAL DE TERESINA;64057990;8632356287;1
44084;CMEI VALQUIRIA FERRAZ SOUSA;AVENIDA MARANHAO;2205;VERMELHA;64018100;8632296616;1
44085;CMEI MARIA AMELIA FREITAS MENDES DE OLIVEIRA;MONTE ALTINOPOLIS LOT O MONTEIRO;6468;URUGUAI;64073350;8632345160;4
44086;CMEI JOAO NONON DE MOURA FONTES IBIAPINA;CONJUNTO JOAO PAULO II;S/N;ANGELIM;64000180;8632273287;1
44087;CMEI RECANTO DOS PASSAROS;LOTEAMENTO TEAMENTO RECANTO DOS PASSAROS;6000;TODOS OS SANTOS;64089100;8632359391;4
44088;CMEI SAO VICENTE;ACESSO CPC SAO VICENTE;S/N;SOCOPO;64063820;8632348369;4
44089;CMEI CHAPADINHA SUL;BR - 316 - KM 24 POVOADO CHAPADINHA SUL;S/N;CHAPADINHA SUL;64022990;8632020018;3
44090;CMEI SANTA MARIA;RUA DEOCLECIO BRITO;2381;PLANALTO;64050050;8632161977;1
44091;EM DOM MIGUEL CAMARA;AVENIDA ININGA;900;FATIMA;64049538;8632343681;4
44093;CMEI TIA LYGIA;AVENIDA HIGINO CUNHA;1290;ILHOTAS;64014220;8632311543;4
44094;CMEI PROFESSOR FRANCISCO DAS CHAGAS VENANCIO;AVENIDA DEZENOVE DE OUTUBRO - DE 16071608 AO FIM;2220;LOURIVAL PARENTE;64023638;8632165086;1
44096;CMEI ZELIA GATTAI AMADO;RUA PEDRO BRITO;1605;PARQUE ALVORADA;64004480;8632132005;1
44097;CMEI PROFESSORA ROSEANA MARIA MARTINS DE LIMA;RUA PROFESSOR FLAVIO TEIXEIRA DE ABREU;5533;VALE QUEM TEM;64057158;8632345693;4
44098;CMEI PROFESSOR JULIO CESAR ARAUJO DE OLIVEIRA;ADRO PRESIDENTE JANIO QUADROS;1851;SANTA LIA;64058780;8632161519;4
44099;CMEI RUTH CORREIA LEITE CARDOSO;AVENIDA SANTA MADRE PAULINA;2300;ANGELIM;64040605;8632297121;2
44100;EM EURIPEDES DE AGUIAR;RUA COELHO DE RESENDE;1825;MARQUES;64002470;8632157954;1
44102;EM DELMIRA COELHO MACHADO;RUA BOM JESUS;4048;BUENOS AIRES;64009215;8632157675;1
44103;EM DEPUTADO ANTONIO GAYOSO;RUA RUI BARBOSA ZONA NORTE - LADO IMPAR;3809;SAO JOAQUIM;64005355;8632174169;4
44104;EM DOMINGOS AFONSO MAFRENSE;RUA CARTEIRO PINTASSILGO;1032;MAFRENSE;64005690;8632157972;2
44105;EM IOLANDA RAULINO;ALAMEDA AMEDA DOMINGOS AFONSO MAFRENSE;6581;POTI VELHO;64004780;8632157970;2
44106;EM JOSE NELSON DE CARVALHO;RUA BASILIO ALVES DE CARVALHO;1909;PARQUE ALVORADA;64004470;8632134667;2
44107;EM MURILO BRAGA;RUA COELHO DE RESENDE;1649;MARQUES;64002470;8632157951;2
44108;EM NOVA BRASILIA;RUA JOAO RAMALHO;1182;NOVA BRASILIA;64004560;8632157980;2
44109;EM PROFESSOR JOSE CARLOS;RUA BATALHA;2599;REAL COPAGRI;64007645;8632157968;2
44110;EM AMBIENTAL 15 DE OUTUBRO;AVENIDA DUQUE DE CAXIAS;3470;AGUA MINERAL;64006245;8632157969;2
44111;EM GALILEU VELOSO;ALTO ALTO LONGA;5471;ALTO ALEGRE;64008090;8632256373;2
44112;EM ANTONIO DILSON FERNANDES;RUA ALFERES DEODATO DA COSTA VELOSO;243;SAO JOAQUIM;64005453;8632157974;2
44113;EM MOACI MADEIRA CAMPOS;RUA DEAN RUSK ANDRADE;4726;MOCAMBINHO;64010780;8632157964;2
44116;EM BEZERRA DE MENEZES;RUA RUI BARBOSA ZONA NORTE;2715;ACARAPE;64002105;8632162185;2
44117;EM CLIDENOR DE FREITAS SANTOS;RUA PROFESSORA MARIA DA LUZ- PARQUE BRASIL;2229;PARQUE BRASIL;64012010;8632258534;2
44121;CMEI THEREZA CHRISTINA;RUA BENJAMIN CONSTANT;1642;CENTRO;64000280;8632213916;2
44122;CMEI JOEL MENDES;RUA SIMPLICIO MENDES ZONA NORTE- ATE 921922;991;CENTRO;64001110;8632213267;2
44123;CMEI RAQUEL DE QUEIROZ;QUADRA ADRA J LOT FCA TRINDADE;5805;SANTA MARIA;64012320;8632136403;2
44124;CMEI HELENA MEDEIROS;AVENIDA BOA ESPERANCA;3710;SAO JOAQUIM;64004065;8632174333;2
44125;CMEI RUBEM ALVES;RUA SAO CRISTOVAO PRQ BRASIL II;3595;PARQUE BRASIL;64012089;8632211353;2
44126;CMEI JOAO PAULO DOS REIS VELOSO;AVENIDA SALVADOR FAUSTO CASTELO BRANCO;4950;AROEIRAS;64011515;86988213070;2
44129;CMEI JOAO BATISTA BRITO DE MELO;QUADRA ADRA S RES PAULO DE TARSO;1050;SANTA MARIA;64012840;86988349892;2
44130;CMEI PROFESSOR ROBERTO GONCALVES DE FREITAS;RUA 14;S/N;PARQUE BRASIL III;64013000;8632111438;2
44131;CMEI PROF MARIA OSMARINA MOURA BEZERRA;RUA ANTONIA FLOR LOT JACINTA ANDRADE;S/N;JACINTA ANDRADE;64013457;86988071891;1
44200;EM PROFESSOR ANTILHON RIBEIRO SOARES;RUA DELFIM MOREIRA;1345;LOURIVAL PARENTE;64023280;8632157958;2
44201;EM AREIAS;AVENIDA HENRY WALL DE CARVALHO - LADO IMPAR;7791;AREIAS;64027690;8632157960;2
44202;EM JOSE AUTO DE ABREU;RUA PIO IX;2570;VERMELHA;64018230;8632157977;2
44203;EM LUIS FORTES;RUA DELFIM MOREIRA;1345;LOURIVAL PARENTE;64023280;8632157959;4
44204;EM MASCARENHAS DE MORAIS;RUA JOSE OMMATI;1345;ILHOTAS;64015050;8632157956;4
44205;EM SIMOES FILHO;AVENIDA ABDIAS NEVES;1520;CRISTO REI;64015300;8632157966;4
44207;EM PROFESSOR DIDACIO SILVA;RUA MARECHAL HERMES DA FONSECA;5105;LOURIVAL PARENTE;64022150;8632204767;4
44209;EM PROFESSORA CRISTINA EVANGELISTA;RUA PIRACURUCA;1345;TRES ANDARES;64017780;8632157979;4
44210;EM PROFESSOR BENJAMIM SOARES DE CARVALHO;RUA LUIZ FERRAZ;1345;MACAUBA;64016055;8632157978;4
44211;EM PROFESSOR ALCIDES LEBRE;RUA ODISSEIA;1345;TRES ANDARES;64016715;8632157690;4
44212;EM JOAO PAULO I;RUA CELSO PINHEIRO SN - SAO LOURENCO;S/N;ALEGRIA;64039990;8632157671;4
44213;EM PROFESSORA ANA BUGYJA BRITO;RUA ASSARE;2316;SANTA CRUZ;64028815;8632112615;4
44214;EM MONSENHOR MATEUS RUFINO;RUA SANTA MARTA PRQ RODOVIARIO;1345;CATARINA;64023715;8632157976;4
44215;EM PROFESSOR VALDEMAR SANDES;RUA CURITIBA;1345;SANTO ANTONIO;64028220;8632157633;4
44216;EM PROFESSOR OFELIO LEITAO;AVENIDA AYRTON SENA;1345;ESPLANADA;64039480;8632157981;4
44217;EM IRMA DULCE;RUA SAO FRANCISCO VL S FCO;3425;SANTO ANTONIO;64032310;8632111938;4
44218;EM PROFESSOR NELSON DO AMARAL SOBREIRA;RUA EGITO P B VISTA;3291;BELA VISTA;64031125;8632154215;4
44219;EM LYSANDRO TITO DE OLIVEIRA;RUA C VL DAGMAR MAZZA;3930;SANTO ANTONIO;64032475;8632157676;4
44220;EM VELHO MONGE;AVENIDA TRES LOT PORTO ALEGRE II;7010;BRASILAR;64035650;8632191047;4
44221;EM DOM HELDER CAMARA;RUA SANTA FRANCISCA CABRINE VL IMA DULCE;7274;ANGELIM;64040315;8632157673;4
44222;EM PROFESSORA ZORAIDE ALMEIDA;RUA TERESA FERREIRA SOARES;9350;ANGELIM;64034401;8632157864;4
44223;EM JORNALISTA JOAO EMILIO FALCAO;RUA FRANCISCO SOUSA ARAUJO, QUADRA 20, RESIDENCIAL VAMOS VER O SOL;4085;PARQUE SUL;64033550;8632157845;4
44224;EM PROFESSORA MARIA DO SOCORRO PEREIRA DA SILVA;QUADRA ADRA J CJ ESPLANADA;4276;ANGELIM;64040780;8632154368;4
44225;EM SANTA CLARA;RUA LUIZA BARBOSA DE MIRANDA;3750;BRASILAR;64035480;8632191266;4
44226;EM RAIMUNDO NONATO MONTEIRO SANTANA;RUA NOSSA SENHORA APARECIDA VL IMA DULCE;2811;ANGELIM;64040485;8632194077;4
44227;EM HINDEMBURGO DOBAL;RUA DENTISTA ACILINO LEITE CJ M COVAS;4675;ANGELIM;64034626;8632273886;4
44228;EM NOSSA SENHORA DA PAZ;RUA PIRACURUCA;3146;TRES ANDARES;64017780;8632157685;4
44229;EM MONTEIRO LOBATO;RUA SAO VALENTINO LOT 7 ESTRELAS;7741;ANGELIM;64040060;8632194538;4
44230;EM GRACILIANO RAMOS;RUA DOIS;6295;PORTAL DA ALEGRIA;64037035;86988420939;4
44231;CMEI ARIANO SUASSUNA;RUA JOSE DA COSTA ARAUJO RES P ALEGRIA II;9370;PORTAL DA ALEGRIA;64037302;86999098101;4
44232;CMEI FRANCISCO HARDI FILHO;AVENIDA NORTE SUL;2650;SANTO ANTONIO;64028350;8632279543;4
44233;CMEI REBECA RIBEIRO NOGUEIRA;RESIDENCIAL SIDENCIAL NOVA ALEGRIA;S/N;SANTO ANTONIO;64000180;8632277360;4
44234;CMEI PARQUE VITORIA;AVENIDA GOVERNADOR ROCHA FURTADO CJ M COVAS;3433;ANGELIM;64034602;86988147820;4
44235;CMEI CECILIA MEIRELES;PARQUE RQUE MARIA EDUARDA;5720;PARQUE JULIANA;64035845;8632192341;4
44236;CMEI CARLOS DRUMMOND DE ANDRADE;AVENIDA JORNALISTA LINDBERG LEITE;9377;PORTAL DA ALEGRIA;64037045;8632154740;4
44237;CMEI ENGENHEIRO MATIAS AUGUSTO DE OLIVEIRA MATOS;RUA JOSE ULISSES LEAL;9152;PORTAL DA ALEGRIA;64037460;8632194811;4
44238;CMEI CASTRO ALVES;RUA PROJETADA 07;7807;ANGELIM;64040790;86998349491;4
44239;CMEI LINDALMA CARVALHO SOARES;RUA CINCO LOTEAMENTO INACIO SOARES;S/N;ANGELICA;64042010;8632246563;4
44240;EM JULIO LOPES LIMA;AVENIDA JORNALISTA LINDBERG LEITE;8765;PORTAL DA ALEGRIA;64037045;86999659818;4
44241;CMEI DOM MIGUEL FENELON CAMARA FILHO;LOTEAMENTO JUDITHE NUNES;8895;PEDRA MIUDA;64038305;8632192904;4
44242;CMEI NOE CERQUEIRA FORTES;RUA JOSE MIGUEL ADAD;8844;PORTAL DA ALEGRIA;64037445;8632192664;4
44243;EM PROF ANA VITORIA DE CARVALHO SANTOS;AVENIDA JORNALISTA LINDBERG LEITE;9042;PORTAL DA ALEGRIA;64037045;86999753179;4
44300;EM PROFESSORA THEREZA NORONHA;AVENIDA JOAO ANTONIO LEITAO - LADO IMPAR;4411;PICARREIRA;64055400;8632157913;4
44301;EM EXTREMA;AVENIDA SAO FRANCISCO - DE 12 A 9999899999;3165;EXTREMA;64076450;8632157850;1
44302;EM FRANCISCO PRADO;RUA MERCURIO;4166;SATELITE;64000180;8632157916;3
44303;EM NOE FORTES;AVENIDA JUIZ JOAO ALMEIDA;2330;ININGA;64049650;8632157892;1
44304;EM PLANALTO ININGA;RUA DEOCLECIO BRITO;3015;PLANALTO;64050050;8632158421;1
44305;EM SANTA MARIA;RUA PROFESSOR ANTONIO SANTOS ROCHA;515;URUGUAI;64073630;8632157890;1
44306;EM TIO BENTES;AVENIDA AVIADOR ROSSINI MORADA LUNA;3452;MORROS;64062200;8632157895;1
44307;EM NOE ARAUJO FORTES;RUA PROFESSOR MACHADO LOPES;5042;ININGA;64048162;8632371686;1
44308;EM VEREADOR JOSE OMMATI;RUA CAPITAO WANDERLEY;2060;PICARREIRA;64056640;8632157914;1
44309;EM DEPUTADO FRANCILIO ALMEIDA;RUA DOM BOSCO;4121;SATELITE;64059370;8632157919;1
44310;EM PROFESSOR VALTER ALENCAR;RUA FARMACEUTICO RAUL BACELLAR;3581;VALE QUEM TEM;64057440;8632157922;1
44311;EM LINDAMIR LIMA;RUA TALMA IRAN LEAL - LADO IMPAR;3840;SATELITE;64059110;8632157917;1
44312;EM PROFESSOR OSCAR OLIMPIO CAVALCANTE;RUA DOUTOR MARIANO MENDES;5602;VALE QUEM TEM;64057325;8632315240;1
44313;EM CASA MEIO NORTE;RUA LUIZ LOPES SOBRINHO;5659;MORROS;64062140;8632157641;1
44314;EM PROFESSORA ALDA RODRIGUES NEIVA;RUA SANTA FILOMENA;8480;TABAJARAS;64067305;8632157649;1
44315;EM MARIO COVAS;AVENIDA ALCIRA RIBEIRO DE CARVALHO;7009;GURUPI;64090125;8632157912;1
44316;EM PROFESSOR JOAO PORFIRIO DE LIMA CORDAO;RUA IVANY VERAS;2900;SAO SEBASTIAO;64084018;8632157898;3
44317;EM ELIAS XIMENES DO PRADO JUNIOR;AVENIDA JANGO LOT NOVA TERESINA;7115;AROEIRAS;64011770;8632157924;3
44318;EM BARJAS NEGRI;RESIDENCIAL SIDENCIAL SOL NASCENTE;1000;COLORADO;64083170;8632157852;1
44319;EM PROFESSOR JOSE CAMILO DA SILVEIRA FILHO;RUA VINTE E TRES LOT E URUGUAI;3260;VALE QUEM TEM;64057501;8632346214;3
44320;EM TORQUATO NETO;RUA BEIRA RIO LOT DARIO Q GALVAO;S/N;BEIRA RIO;64075525;8632157899;1
44321;EM MARIO FAUSTINO;RUA RAIMUNDO ALVES DE CARVALHO, CONJUNTO HABITAR BRASIL;1930;PEDRA MOLE;64065020;8632316396;3
44324;EM DEPUTADO HUMBERTO REIS DA SILVEIRA;LOTEAMENTO QUATRO LOTEAMENTO VITORIA;1514;GURUPI;64090320;8632329349;1
44325;EM PROFESSOR MARCILIO FLAVIO RANGEL DE FARIAS;RUA SANTO ADRIANO VL STA BARBARA;2296;VERDE LAR;64071440;8632349881;3
44326;EM ORLANDO GERALDO REGO DE CARVALHO;RUA ANA HELENA BASILIO VL F FILHO;573;PARQUE POTI;64081270;8632161975;1
44327;EM MACHADO DE ASSIS;VILA PARIS;2349;RENASCENCA;64082150;8632162221;3
44329;EM VINICIUS DE MORAES;RUA JOSE HUMBERTO BRONCA;6603;SAO SEBASTIAO;64085150;8632167804;3
44330;EM MARIO QUINTANA;CONJUNTO RESIDENCIAL FORTES;962;COMPRIDA;64076115;8632355678;3
44331;CMEI SANTA BARBARA;RUA NOSSA SENHORA DAS GRACAS VL STA BARBARA;7947;VERDE LAR;64071570;8632343285;3
44332;CMEI FRANCISCA MARQUES;RUA TELEGRAFISTA SEBASTIAO PORTELLA;3143;SAO JOAO;64046480;8632329370;1
44333;EM JORNALISTA DEOCLECIO DANTAS;RUA PROJETADA;6348;VALE DO GAVIAO;64069010;8632345594;1
44334;CMEI FRANCISCA FERREIRA DA SILVA - TIA FANNY;RUA CONTORNO RODOVIARIO NORTE;6556;VALE DO GAVIAO;64069100;8632314475;1
44335;CMEI TIO ALESSANDRO;RUA JEQUIE;7461;PEDRA MOLE;64066340;8632316349;1
44336;CMEI TOM JOBIM;VIA ESTRUTURAL LESTE 06;5867;MORROS;64062300;8632342186;1
44337;CMEI JORGE AMADO;RUA PROMOTOR JOSE METON FILHO;5151;VERDE LAR;64071705;8698410785;1
44338;EM PROFESSOR OLIMPIO CASTRO DE OLIVEIRA;RUA PROMOTOR MILTON TAVARES;6395;VALE DO GAVIAO;64069085;8632306185;1
44339;CMEI ANTONIO DE NORONHA PESSOA FILHO;CONJUNTO SIGEFREDO PACHECO I;S/N;VALE DO GAVIAO;64069100;86994687862;1
44340;CMEI EDUARDO HENRIQUE ACCIOLY CAMPOS;RUA ARISTIDES SARAIVA DE ALMEIDA;454;SANTA ISABEL;64053300;86999448844;1
44341;CMEI PROFESSORA NOELIA MARANHAO DA COSTA E SILVA;LOTEAMENTO VALE DO GAVIAO;6000;VALE DO GAVIAO;64069430;86999083568;1
44400;EM CLODOALDO FREITAS;AVENIDA DOUTOR JOSUE DE MOURA SANTOS;1553;PEDRA MOLE;64066430;8632157911;1
44402;EM SANTA MARIA DAS VASSOURAS;RUA TENENTE ARAUJO;1374;SANTA MARIA;64012570;8632154143;2
44403;EM MARIANO ALVES DE CARVALHO;AVENIDA POTI VELHO;5760;SANTA MARIA;64012760;8632157678;2
44405;EM PROFESSORA DARCY PEREIRA DE CARVALHO;RUA CAXIAS;5675;SANTA MARIA;64013100;8632157967;2
44406;EM AURINO NUNES;RUA JOAO ISIDORO FRANCA;S/N;POTI VELHO;64008010;8632111451;2
44410;EM CONSELHEIRO SARAIVA;AREA RURAL;S/N;AREA RURAL DE TERESINA;64099899;8632381022;2
44412;EM MINISTRO RUBEN LUDWIG;RUA VALINHOS;7681;CIDADE JARDIM;64066345;8632316110;1
44413;EM RESIDENCIAL PEDRA MOLE;CONJUNTO PEDRA MOLE;2461;CIDADE JARDIM;64066000;8632157925;1
44414;EM PROFESSOR ITAMAR DE SOUSA BRITO;RUA MACAE;7461;PEDRA MOLE;64066350;8632316598;1
44415;EM DELFINA BORRALHO BOA VISTA;RUA ADAMANTINA;8065;PEDRA MOLE;64066540;8632157918;1
44416;EM SANTA MARIA DA CODIPI;RUA FRANCISCO MAGNOLIA;1435;SANTA MARIA;64012470;8632157982;2
44417;EM PROFESSOR JOSE GOMES CAMPOS;RUA CHICO CONRADO;2525;SANTA MARIA;64012590;8632157988;2
44418;EM GOVERNADOR CHAGAS RODRIGUES;RUA A JOSE WILSON RIBEIRO RES FRANCISCA TRINDADE;4151;SANTA MARIA;64012352;8632267185;2
44419;EM POETA DA COSTA E SILVA;QUADRA ADRA 06 CJ RES JACINTA ANDRADE;6155;JACINTA ANDRADE;64013455;8632134708;2
44420;EM PROFESSOR UBIRACI CARVALHO;RUA RITMISTA ORLANDO NASCIMENTO A RESSURREICAO;7050;GURUPI;64090295;8632338608;3
44421;CMEI JULIO ROMAO;RUA SANTA LUZIA;860;GURUPI;64090430;8632319657;3
44422;CMEI RAMSES BAHURY DE SOUSA RAMOS;RUA CECY NEPOMUCENO PIRES;2250;BOM PRINCIPIO;64095050;8632359238;3
44423;CMEI JONAS PEREIRA DA SILVA;RUA CESAR DE NEGREIROS BARROS LOT M EVANGELISTA;3670;NOVO HORIZONTE;64080210;8632347086;3
44500;EM JOCA VIEIRA;RODOVIA PI 113 KM 16;S/N;ESTACA ZERO;64059990;8632157644;1
44501;EM VEREADOR VIEIRA TORANGA;AREA POVOADO SANTA RITA;S/N;POVOADO SANTA RITA;64000180;8632323703;1
44503;EM SANTA TERESA;POVOADO SANTA TERESA;S/N;;64058990;8632157643;1
44504;EM NOSSA SENHORA DO AMPARO;POVOADO VOADO SANTA TERESA;S/N;SANTA TERESA;64000180;8632356529;1
44505;EM DEOCLECIO CARVALHO;PI 113 - POVOADO COROATA;S/N;ZONA RURAL LESTE;64053860;8632221243;1
44540;CMEI MARIA JOSE ARCOVERDE;RUA DESEMBARGADOR BERILO MOTA;SN;ITARARE;64078213;8632367847;3
44541;EM LEA LEAL;AVENIDA GIOVANE PRADO;3730;SATELITE;64059250;8632345865;1
44542;EM LUNALVA COSTA;RUA CINQUENTA E QUATRO DIRCEU II;3311;ITARARE;64078198;8632369080;3
44543;EM MYRIAM PORTELLA NUNES;RUA DESEMBARGADOR TOMAZ CAMPELO;5763;SACI;64020345;8632164447;4
44544;CMEI TIA ANITA GAYOSO;AVENIDA DUQUE DE CAXIAS;4240;AGUA MINERAL;64006245;8632254746;2
44545;CMEI DONA ODINEA;RUA ENGENHEIRO MIGUEL FURTADO BACELLAR;3895;BUENOS AIRES;64009280;8632251000;2
44546;CMEI HERCILIA TORRES DE ALMEIDA;RUA AGNELO RUFINO;6300;PARQUE PIAUI;64025275;8632219043;4
44547;EM PROFESSORA ESTHER COUTO;RUA CEM;22222;PARQUE PIAUI;64025370;8632117772;4
44548;CMEI PROFESSORA HILDETE;RUA PADRE CICERO;3690;SANTO ANTONIO;64033510;8632111909;4
44549;CMEI TIA EUTALIA;RUA CINQUENTA E QUATRO DIRCEU II;3455;ITARARE;64078198;8632363945;3
44550;CMEI MARIA AUGUSTA DE JESUS;RUA DOUTOR PEDRO TEIXEIRA;S/N;ITARARE;64078345;8632369395;3
44551;CMEI TIA TANIA;RUA CRISTAL;2865;REAL COPAGRI;64007320;8632256175;2
44552;CMEI BERNARD VAN LEER;RUA CARAJAS;4010;ITARARE;64078548;8632355838;3
44553;CMEI PRESIDENTE MEDICE;RUA CORONEL BELISARIO DA CUNHA;150;SAO CRISTOVAO;64052150;8632324686;1
44554;CMEI MIRIAN FURTADO;RUA CRISTO REDENTOR;2320;TRES ANDARES;64017705;8632166217;4
